DBSize	R	RDS		RPS	RPS+DS
70K	-	0.041266	0.467894	0.038435	-	0.072382	0.720887	0.044271	-	0.374614	2.606365	0.076923	-	244.147564	14.594441	0.252394
1M	-	0.200529	6.731357	0.199798	-	0.20692	9.128238	0.190878	-	0.480028	23.803935	0.224717	-	-	141.34768	0.39617
7M	-	2.159683	69.664961	2.166069	-	4.163873	77.241482	4.212495	-	2.443665	139.130009	2.193026	-	-	550.518989	2.629354
